index,ticker
0,AUB.AX
1,GLRE
2,GTS
3,EIG
4,AIZ
5,PRA
6,TRUP
7,AFL
8,CNO
9,UNM
10,IPG
11,YUME
12,OMC
13,NOC
14,TXT
15,ERJ
16,COL
17,TGI
18,DCO
19,UTX
20,ESL
21,AIR
22,HII
23,SPR
24,AVAV
25,RGR
26,HEI
27,DGI
28,GD
29,WWD
30,ISSC
31,BA
32,TDG
33,MOG-A
34,HEI-A
35,LMT
36,HXL
37,RTN
38,KAMN
39,LLL
40,MOS
41,SMG
42,AVD
43,MON
44,AGU
45,SYT
46,CF
47,POT
48,IPI
49,UAN
50,CGA
51,EXPD
52,FWRD
53,RRTS
54,MLNK
55,UPS
56,RLGT
57,XPO
58,HUBG
59,ATSG
60,CHRW
61,FDX
62,MIC
63,ASR
64,AAWW
65,AER
66,ACH
67,AA
68,CENX
69,KALU
70,CHS
71,GCO
72,CBK
73,GES
74,URBN
75,DSW
76,CATO
77,PLCE
78,AEO
79,GPS
80,CHKE
81,LB
82,NWY
83,SMRT
84,ASNA
85,BKE
86,DXLG
87,EXPR
88,ROST
89,SSI
90,ANF
91,SCVL
92,FRAN
93,DEST
94,TLYS
95,JWN
96,CTRN
97,IRBT
98,WHR
99,IMMR
100,QADA
101,MATR
102,BNFT
103,CRM
104,FALC
105,FIVN
106,CDK
107,CMCM
108,RP
109,BSQR
110,PRO
111,FTNT
112,DATA
113,IMPV
114,ORCL
115,ELLI
116,MITK
117,SNCR
118,ACTA
119,MOBL
120,EXA
121,STMP
122,AGYS
123,SYNA
124,GSB
125,ZEN
126,AMSWA
127,SAP
128,EIGI
129,RNG
130,MGIC
131,MODN
132,CVLT
133,TYPE
134,PRGS
135,PCTY
136,CSOD
137,ANSS
138,BCOV
139,MDRX
140,SPSC
141,BV
142,CDNS
143,NSIT
144,CNIT
145,EGOV
146,AWRE
147,ZIXI
148,OTEX
149,NQ
150,FEYE
151,QLYS
152,MANH
153,MSTR
154,NUAN
155,PFPT
156,SEAC
157,NTWK
158,RUBI
159,RHT
160,MSCI
161,ECOM
162,MRIN
163,CSLT
164,SMSI
165,HUBS
166,AMBR
167,KEYW
168,TWOU
169,RST
170,XNET
171,BSFT
172,SPLK
173,LXFT
174,ADBE
175,WDAY
176,LOGM
177,INTU
178,PAYC
179,BK
180,FIG
181,WHG
182,WETF
183,FII
184,FNGN
185,CG
186,MC
187,AB
188,VOYA
189,CNS
190,BLK
191,OAK
192,KKR
193,ASA
194,ARES
195,LAZ
196,BX
197,SEIC
198,AMG
199,STT
200,NOAH
201,AMP
202,PZN
203,ECPG
204,APAM
205,OZM
206,CSWC
207,HRZN
208,MN
209,EV
210,LM
211,IVZ
212,TROW
213,EVR
214,GROW
215,SFE
216,WDR
217,NTRS
218,BEN
219,GPI
220,KMX
221,SAH
222,ABG
223,CRMT
224,AN
225,CPRT
226,LAD
227,PAG
228,TTM
229,F
230,GM
231,KNDI
232,HMC
233,TSLA
234,SORL
235,TM
236,MTOR
237,LKQ
238,MNRO
239,LDL
240,CAAS
241,ALV
242,SUP
243,VOXX
244,THRM
245,DORM
246,UQM
247,MOD
248,TOWR
249,AXL
250,PLOW
251,ALSN
252,JCI
253,DLPH
254,SRI
255,BWA
256,GNTX
257,DAN
258,MPAA
259,ZX
260,CPS
261,SMP
262,MLR
263,WBC
264,LEA
265,VC
266,WPRT
267,TEN
268,AZO
269,ORLY
270,AAP
271,MGA
272,CVGI
273,GLP
274,BUD
275,TAP
276,SAM
277,BORN
278,FMX
279,BREW
280,CCE
281,SODA
282,PEP
283,COT
284,MNST
285,KOF
286,KO
287,REED
288,FIZZ
289,PRMW
290,DPS
291,DEO
292,STZ
293,BF-B
294,INO
295,XNCR
296,ALNY
297,PPHM
298,OVAS
299,BTX
300,IMDZ
301,ACOR
302,OPHT
303,PETX
304,GERN
305,FOMX
306,MRNS
307,ZFGN
308,FATE
309,IDRA
310,ARWR
311,ECYT
312,ATNM
313,APDN
314,PRTK
315,PDLI
316,CMRX
317,CORT
318,AST
319,BIIB
320,IMMY
321,VNDA
322,VSTM
323,OMED
324,CYTR
325,REPH
326,ARNA
327,ZIOP
328,AVXL
329,VCEL
330,NSTG
331,SNSS
332,KITE
333,RNN
334,FOLD
335,RGEN
336,BMRN
337,ALXN
338,RPRX
339,GNCA
340,NDRM
341,AGEN
342,IMGN
343,RGLS
344,FPRX
345,ANIK
346,CTIC
347,EGLT
348,ADXS
349,CGEN
350,PLX
351,STML
352,TSRO
353,JAZZ
354,LOXO
355,TBPH
356,CCXI
357,NVAX
358,AFMD
359,XLRN
360,ORMP
361,CANF
362,PFNX
363,BCLI
364,ENTA
365,MACK
366,TROV
367,REGN
368,NERV
369,TTNP
370,VCYT
371,GILD
372,EXAS
373,DERM
374,OMER
375,SRNE
376,CLVS
377,NAVB
378,OCUL
379,LJPC
380,ALDR
381,KERX
382,AGTC
383,SGMO
384,MDWD
385,GALE
386,AKAO
387,XON
388,MNOV
389,LGND
390,CNCE
391,TENX
392,QURE
393,CALA
394,KIN
395,LXRX
396,ACAD
397,BCRX
398,EPZM
399,INCY
400,CBM
401,CLSN
402,CDXS
403,RVNC
404,ESPR
405,ADHD
406,XXII
407,AVEO
408,ARDX
409,HALO
410,FGEN
411,CERU
412,ARQL
413,ACHN
414,SVA
415,CYTX
416,PTLA
417,EBS
418,CRIS
419,VICL
420,MGNX
421,PGNX
422,NLNK
423,SPPI
424,CNAT
425,DRNA
426,INSM
427,PRTA
428,CLDX
429,SGEN
430,ILMN
431,CEMP
432,NKTR
433,INSY
434,AMPE
435,OHRP
436,CERS
437,CUR
438,NWBO
439,EXEL
440,PSTI
441,ATHX
442,AEZS
443,MNKD
444,AKBA
445,MRTX
446,PTCT
447,EBIO
448,CRMD
449,PBYI
450,RARE
451,AMGN
452,CELG
453,TECH
454,VVUS
455,SRPT
456,RXDX
457,TGTX
458,ANIP
459,CYTK
460,SAGE
461,BDSI
462,CARA
463,CHRS
464,VTL
465,AGIO
466,TRVN
467,CBPO
468,IMMU
469,PACB
470,INFI
471,ARRY
472,VRTX
473,BLUE
474,ETM
475,P
476,TSQ
477,SALM
478,EMMS
479,CMLS
480,SIRI
481,EVC
482,NWSA
483,GTN
484,SNI
485,TV
486,AMCX
487,CETV
488,SBGI
489,LVNTA
490,NXST
491,LBRDK
492,LPX
493,HBP
494,AVY
495,CAJ
496,PBI
497,PAY
498,KNL
499,MLHR
500,SCS
501,HNI
502,WNS
503,CLCT
504,HCSG
505,TTEC
506,ACTG
507,EXLS
508,PCLN
509,FISV
510,CVO
511,MCO
512,NSP
513,CVEO
514,MMS
515,NEWT
516,ABM
517,PRAA
518,EEFT
519,G
520,VVI
521,ARC
522,DSS
523,WEX
524,ENV
525,TISI
526,VEC
527,ASFI
528,SRT
529,PFSW
530,CATM
531,SSTK
532,PRGX
533,ASPS
534,CTAS
535,WSTC
536,TNET
537,RBA
538,ADS
539,ABCO
540,CVG
541,RRD
542,SERV
543,VRSK
544,VNTV
545,PFMT
546,CBZ
547,CASS
548,LABL
549,CMPR
550,MARA
551,QUAD
552,RPXC
553,HMSY
554,OMEX
555,UEPS
556,REIS
557,FLT
558,SNX
559,GPN
560,ROL
561,DLX
562,QTWO
563,ASUR
564,DST
565,PRFT
566,EPAY
567,CSGS
568,MSFT
569,EGAN
570,GWRE
571,LPSN
572,PERI
573,CA
574,CALD
575,PCYG
576,CTSH
577,PEGA
578,SLP
579,IRM
580,FICO
581,VRNT
582,BLKB
583,NTCT
584,ADP
585,SREV
586,EBIX
587,DOX
588,CYBR
589,CARB
590,AZPN
591,DWCH
592,EVTC
593,FFIV
594,SPNS
595,JKHY
596,CTXS
597,SSNC
598,LQDT
599,QVCA
600,VIPS
601,W
602,LITB
603,AMZN
604,EVLV
605,OSTK
606,GAIA
607,MELI
608,LE
609,LBTYA
610,NFLX
611,DISCA
612,TIVO
613,DISH
614,CHTR
615,SJR
616,CX
617,EXP
618,CRH
619,BIOA
620,BAK
621,HUN
622,GEVO
623,PX
624,FMC
625,CE
626,CDXC
627,ASH
628,RTK
629,WLKP
630,EMN
631,LXU
632,SHLM
633,MTX
634,ACET
635,APD
636,RYAM
637,FF
638,SQM
639,TROX
640,BCPC
641,OCIP
642,TREC
643,BTI
644,PM
645,MO
646,VGR
647,TIS
